Date,Open,High,Low,Close,Adj Close,Volume
11/12/2014,35.05,36.97,34.88,36.71,28.33,601900
12/12/2014,37.22,37.52,35.05,35.41,27.33,3836400
15/12/2014,35.87,35.95,34.86,35.29,27.24,1898600
16/12/2014,35.41,35.75,35.35,35.46,27.37,4877500
17/12/2014,35.47,36.60,35.44,36.17,27.92,2500200
18/12/2014,37.11,38.69,36.86,38.17,29.46,11518700
19/12/2014,39.12,41.90,38.21,41.90,32.34,8381800
22/12/2014,41.04,42.98,39.62,39.68,30.62,4526300
23/12/2014,39.72,40.31,39.17,39.26,30.30,1400000
24/12/2014,39.42,39.60,38.78,39.29,30.32,518900
26/12/2014,39.08,39.56,38.87,39.02,30.12,453600
29/12/2014,39.38,39.39,38.70,38.88,30.01,975400
30/12/2014,38.91,39.06,38.08,38.87,30.00,845500
31/12/2014,38.95,39.11,38.58,39.04,30.13,382100
02/01/2015,39.37,39.64,38.06,38.32,29.58,749800
05/01/2015,38.21,38.45,37.15,37.80,29.17,1169600
06/01/2015,37.80,38.12,37.11,37.87,29.23,1532500
07/01/2015,39.06,40.60,38.45,39.33,30.35,2298400
08/01/2015,39.83,41.84,39.83,40.35,31.14,1730100
09/01/2015,40.70,40.74,39.96,39.96,30.84,826900
12/01/2015,39.81,40.19,39.37,39.69,30.63,2490000
13/01/2015,40.68,41.15,40.07,40.26,31.07,1834400
14/01/2015,40.55,40.95,40.00,40.39,31.17,1064000
15/01/2015,41.12,41.39,39.22,39.35,30.37,1080800
16/01/2015,39.05,39.26,38.30,38.95,30.06,1753600
20/01/2015,38.81,39.36,38.25,38.28,29.54,1083400
21/01/2015,38.21,39.05,37.68,38.91,30.03,798000
22/01/2015,38.92,39.64,38.00,39.20,30.25,1388600
23/01/2015,39.35,39.90,39.16,39.31,30.34,675600
26/01/2015,39.60,40.19,38.80,38.85,29.98,1141300
27/01/2015,38.42,39.25,38.19,39.24,30.29,489900
28/01/2015,39.43,39.59,38.20,38.33,29.58,592100
29/01/2015,38.34,39.75,38.00,39.16,30.22,930300
30/01/2015,38.75,39.06,38.50,38.68,29.85,1469100
02/02/2015,39.07,39.10,38.09,38.45,29.68,987900
03/02/2015,38.68,38.73,38.26,38.68,29.85,1509600
04/02/2015,38.63,38.68,38.00,38.10,29.41,754300
05/02/2015,38.44,38.69,38.09,38.41,29.64,1479300
06/02/2015,38.60,39.44,38.40,38.88,30.01,1001600
09/02/2015,38.92,39.05,38.24,38.39,29.63,681800
10/02/2015,38.89,39.45,38.70,39.25,30.29,1337500
11/02/2015,39.12,39.54,38.69,39.02,30.12,639000
12/02/2015,39.45,39.72,39.01,39.32,30.35,1151000
13/02/2015,39.27,40.04,38.66,38.74,29.90,1618100
17/02/2015,40.01,42.89,38.99,42.12,32.51,2549300
18/02/2015,42.26,42.40,40.87,40.97,31.62,1974700
19/02/2015,40.89,41.38,40.63,40.80,31.49,827300
20/02/2015,40.89,41.92,40.67,41.59,32.10,834400
23/02/2015,41.68,41.71,41.26,41.63,32.13,706600
24/02/2015,41.65,43.35,41.45,42.33,32.67,1221900
25/02/2015,42.71,42.98,42.34,42.69,32.95,781800
26/02/2015,43.13,43.64,42.77,43.48,33.56,1934000
27/02/2015,43.67,45.71,43.55,44.23,34.21,2284400
02/03/2015,44.32,45.10,44.13,44.67,34.55,1926600
03/03/2015,45.03,45.12,43.07,43.62,33.74,1150800
