Date,Open,High,Low,Close,Adj Close,Volume
7/13/2004,14.00,14.10,13.49,13.50,6.14,14964100
7/14/2004,13.50,13.55,12.91,13.44,6.12,2801000
7/15/2004,13.45,13.85,13.35,13.84,6.30,1276200
7/16/2004,13.87,13.90,13.51,13.83,6.29,1488200
7/19/2004,13.80,13.80,13.35,13.52,6.15,966200
7/20/2004,13.52,13.93,13.41,13.93,6.34,719300
7/21/2004,13.94,13.94,13.50,13.60,6.19,472300
7/22/2004,13.60,13.65,13.33,13.60,6.19,218500
7/23/2004,13.40,13.62,13.40,13.56,6.17,268500
7/26/2004,13.50,13.50,13.05,13.20,6.01,236200
7/27/2004,13.20,13.20,12.40,12.75,5.80,2668000
7/28/2004,12.85,13.12,12.84,13.03,5.93,1028100
7/29/2004,13.10,13.78,13.10,13.78,6.27,1015700
7/30/2004,13.72,13.90,13.55,13.90,6.33,623000
8/2/2004,13.80,13.80,13.55,13.70,6.24,329400
8/3/2004,13.70,14.08,13.70,13.94,6.34,1557100
8/4/2004,14.04,14.04,13.88,13.90,6.33,156300
8/5/2004,13.94,14.00,13.86,13.89,6.32,188100
8/6/2004,13.82,14.00,13.70,13.80,6.28,276300
8/9/2004,13.80,13.80,13.50,13.70,6.24,212100
8/10/2004,13.70,13.85,13.65,13.79,6.28,272400
8/11/2004,13.80,13.88,13.60,13.70,6.24,166800
8/12/2004,13.65,13.75,13.58,13.63,6.20,284700
8/13/2004,13.68,13.70,13.35,13.40,6.10,104900
8/16/2004,13.40,13.55,13.40,13.48,6.13,86400
8/17/2004,13.40,13.65,13.25,13.45,6.12,161100
8/18/2004,13.52,13.64,13.35,13.61,6.19,43000
8/19/2004,13.60,13.60,12.75,13.30,6.05,124100
8/20/2004,13.25,13.64,13.10,13.64,6.21,112300
8/23/2004,13.70,13.91,13.60,13.85,6.30,442900
8/24/2004,13.75,13.80,13.45,13.80,6.28,607400
8/25/2004,13.80,13.89,13.51,13.80,6.28,307300
8/26/2004,13.90,13.90,13.70,13.70,6.24,104300
8/27/2004,13.75,14.08,13.75,14.04,6.39,880600
8/30/2004,14.00,14.15,13.90,14.02,6.38,265000
8/31/2004,13.95,14.25,13.95,14.25,6.49,401800
9/1/2004,14.25,14.59,14.25,14.45,6.58,421400
9/2/2004,14.50,14.50,14.15,14.30,6.51,273800
9/3/2004,14.05,14.20,13.75,14.00,6.37,310100
9/7/2004,14.00,14.05,13.65,13.87,6.31,329000
9/8/2004,13.77,13.87,13.70,13.79,6.28,178000
9/9/2004,13.69,13.95,13.69,13.78,6.27,163500
9/10/2004,14.15,14.37,13.90,14.37,6.54,1073900
9/13/2004,14.30,14.50,14.27,14.35,6.53,394400
9/14/2004,14.44,14.90,14.28,14.83,6.75,500500
9/15/2004,15.00,15.37,14.90,15.22,6.93,1045100
