Date,Open,High,Low,Close,Adj Close,Volume
01/07/2021,16.30,21.69,15.50,21.00,20.36,40888200
02/07/2021,19.85,20.45,18.32,19.12,18.54,8631400
06/07/2021,18.90,19.12,17.00,17.00,16.48,3973000
07/07/2021,17.29,18.16,17.00,17.78,17.24,3213500
08/07/2021,17.25,18.35,17.00,18.20,17.65,5448300
09/07/2021,18.37,20.00,18.37,19.29,18.70,3951200
12/07/2021,19.70,20.06,17.82,18.06,17.51,2665200
13/07/2021,18.25,18.65,17.50,17.60,17.06,2567600
14/07/2021,17.65,17.97,17.15,17.22,16.70,1456100
15/07/2021,17.33,17.53,16.99,17.11,16.59,828600
16/07/2021,17.02,17.33,17.00,17.04,16.52,1209800
19/07/2021,16.61,17.00,16.03,16.96,16.44,1425400
20/07/2021,17.01,17.10,16.25,16.59,16.09,1181000
21/07/2021,16.50,16.79,16.08,16.28,15.78,1988900
22/07/2021,16.05,16.28,15.79,16.07,15.58,1695500
23/07/2021,15.96,16.74,15.55,16.71,16.20,2008900
26/07/2021,16.73,17.97,16.68,17.17,16.65,3109600
27/07/2021,17.44,17.47,16.25,16.43,15.93,1076700
28/07/2021,16.50,16.85,15.90,15.95,15.47,1198800
29/07/2021,15.96,16.53,15.80,16.51,16.01,818600
30/07/2021,16.30,16.48,15.89,15.96,15.47,735700
02/08/2021,16.07,16.08,15.71,15.74,15.26,995100
03/08/2021,16.00,16.00,15.69,15.70,15.22,687100
04/08/2021,15.69,15.83,14.89,15.12,14.66,1453900
05/08/2021,15.12,15.64,14.92,15.64,15.16,537400
06/08/2021,15.57,15.65,15.17,15.32,14.85,341200
09/08/2021,15.30,16.03,15.00,15.90,15.42,1152300
10/08/2021,15.83,15.96,15.38,15.68,15.20,563500
11/08/2021,15.76,15.90,14.98,15.08,14.62,930500
12/08/2021,15.08,15.32,14.75,14.80,14.35,911400
13/08/2021,14.80,15.27,14.70,15.03,14.57,763800
16/08/2021,15.12,15.15,14.32,14.62,14.18,978300
17/08/2021,14.56,14.67,13.62,14.04,13.61,2476400
18/08/2021,14.24,14.25,13.01,13.07,12.67,3209300
19/08/2021,13.00,15.29,12.82,14.91,14.46,4320700
20/08/2021,14.61,15.63,14.50,15.07,14.61,2257100
23/08/2021,15.35,16.92,15.02,16.73,16.22,2366000
24/08/2021,16.75,17.35,16.09,16.96,16.44,1984900
25/08/2021,17.00,17.59,16.34,16.53,16.03,1576300
26/08/2021,16.79,17.22,16.53,16.97,16.45,964500
27/08/2021,16.93,17.30,16.81,17.00,16.48,1064200
30/08/2021,17.21,17.67,16.72,16.88,16.37,1159000
31/08/2021,16.92,17.10,16.55,16.71,16.20,705800
01/09/2021,16.86,17.02,16.75,16.85,16.34,474200
02/09/2021,16.99,17.39,16.61,16.79,16.28,1235600
03/09/2021,16.85,16.90,15.73,16.12,15.63,1474700
07/09/2021,16.11,16.25,14.93,14.96,14.51,2465500
08/09/2021,14.97,15.43,14.80,15.21,14.75,1961000
09/09/2021,15.35,16.29,15.30,16.07,15.58,1200400
10/09/2021,16.25,16.45,15.66,15.97,15.48,1109900
13/09/2021,16.01,16.14,15.27,15.34,14.87,674600
14/09/2021,15.45,15.75,15.37,15.56,15.09,562000
15/09/2021,15.56,15.75,15.05,15.30,14.83,780200
16/09/2021,15.23,16.68,15.23,16.38,15.88,1512700
17/09/2021,16.32,16.50,15.19,15.21,14.75,5721100
20/09/2021,14.82,15.77,14.56,14.98,14.52,2744000
21/09/2021,15.00,15.19,14.03,14.27,13.84,2259700
22/09/2021,14.29,14.46,14.02,14.16,13.73,1577800
23/09/2021,14.25,14.80,14.20,14.73,14.28,1224500
24/09/2021,14.67,14.73,14.22,14.51,14.07,520900
27/09/2021,14.51,14.85,14.25,14.34,13.90,838800
28/09/2021,14.26,14.37,14.02,14.21,13.78,747000
29/09/2021,14.28,14.33,13.96,14.00,13.57,685800
30/09/2021,14.01,14.08,13.75,14.00,13.57,848700
01/10/2021,14.06,14.25,13.82,14.22,13.79,638600
04/10/2021,14.06,14.22,13.83,13.93,13.51,560200
05/10/2021,13.95,14.02,13.80,13.89,13.47,635700
06/10/2021,13.82,13.89,13.72,13.80,13.38,819000
07/10/2021,13.89,14.09,13.68,13.75,13.33,1045800
08/10/2021,13.75,14.30,13.59,14.12,13.69,862600
11/10/2021,14.07,14.09,13.85,13.97,13.55,488500
12/10/2021,13.98,14.33,13.97,14.27,13.84,400600
13/10/2021,14.32,14.34,14.10,14.31,13.87,211600
14/10/2021,14.38,14.66,14.13,14.15,13.72,468300
15/10/2021,14.35,14.36,13.88,13.91,13.49,446500
18/10/2021,13.90,14.18,13.71,14.08,13.65,301700
19/10/2021,14.14,14.14,13.83,13.89,13.47,510900
20/10/2021,13.90,13.98,13.80,13.92,13.50,413800
21/10/2021,13.66,13.85,13.07,13.13,12.73,1918700
22/10/2021,13.11,13.11,12.71,12.94,12.55,1378400
25/10/2021,12.91,13.23,12.76,12.96,12.57,694000
26/10/2021,13.00,13.29,12.90,13.26,12.89,479300
27/10/2021,13.25,13.36,12.77,12.77,12.42,523800
28/10/2021,12.93,12.93,12.63,12.89,12.53,572400
29/10/2021,12.83,12.87,12.70,12.75,12.40,413800
01/11/2021,12.82,13.04,12.76,12.95,12.59,689900
02/11/2021,13.00,14.24,12.95,14.15,13.76,2343800
03/11/2021,14.07,14.15,13.40,13.86,13.47,1024000
04/11/2021,13.84,14.07,13.45,13.86,13.47,525600
05/11/2021,13.95,14.24,13.87,14.10,13.71,435100
08/11/2021,13.64,14.18,13.37,13.55,13.17,1094100
09/11/2021,13.50,13.62,12.90,12.98,12.62,1256400
10/11/2021,13.78,14.85,13.30,13.37,13.00,2652100
11/11/2021,13.43,14.45,13.43,14.30,13.90,1208700
12/11/2021,14.34,14.73,14.16,14.45,14.05,905900
15/11/2021,14.69,14.73,14.18,14.35,13.95,842600
16/11/2021,14.85,15.17,14.34,14.54,14.14,2104200
17/11/2021,14.59,15.08,14.52,14.98,14.56,916500
18/11/2021,14.80,14.94,13.64,13.69,13.31,1342500
19/11/2021,13.90,14.07,13.70,13.82,13.44,1089300
22/11/2021,14.00,14.46,13.82,14.04,13.65,1119300
23/11/2021,14.02,14.95,14.00,14.10,13.71,1278100
24/11/2021,13.98,15.69,13.98,15.53,15.10,2186200
26/11/2021,14.76,15.71,14.73,15.44,15.01,803500
29/11/2021,15.51,16.08,15.00,15.21,14.79,1574600
30/11/2021,15.00,15.16,13.92,14.55,14.15,2925600
01/12/2021,13.97,14.70,13.00,13.19,12.82,3052500
02/12/2021,13.45,14.34,13.38,14.17,13.78,1657200
03/12/2021,14.10,15.88,14.10,15.70,15.26,2761900
06/12/2021,15.41,16.42,15.35,15.73,15.29,1969100
07/12/2021,16.00,16.95,15.73,15.80,15.36,1462700
08/12/2021,15.89,16.69,15.89,15.96,15.52,1408400
09/12/2021,16.00,16.33,14.81,14.90,14.49,1216600
10/12/2021,14.94,15.60,14.94,15.53,15.10,1323400
13/12/2021,15.47,16.08,15.30,15.98,15.54,998000
14/12/2021,15.45,16.36,15.40,15.99,15.55,987700
15/12/2021,15.83,16.00,15.27,16.00,15.56,671400
16/12/2021,16.01,16.30,15.35,15.59,15.16,843800
17/12/2021,15.48,17.56,15.44,17.17,16.69,2514100
20/12/2021,16.75,16.88,15.44,15.98,15.54,2080700
21/12/2021,16.00,16.49,15.70,15.85,15.41,1169900
22/12/2021,15.80,16.02,15.52,15.90,15.46,947400
23/12/2021,15.85,17.07,15.82,16.91,16.44,1569000
27/12/2021,16.60,17.36,16.16,16.22,15.77,1393900
28/12/2021,16.24,18.60,16.23,17.85,17.35,3131900
29/12/2021,17.58,18.32,17.35,17.72,17.23,1176500
30/12/2021,17.58,19.31,17.58,18.47,17.96,1721500
31/12/2021,18.13,19.55,18.10,18.92,18.39,1625700
03/01/2022,18.92,19.41,18.43,18.58,18.06,1143000
04/01/2022,18.33,18.82,17.56,18.48,17.97,1142800
05/01/2022,18.15,19.00,18.10,18.17,17.67,1369000
06/01/2022,18.22,18.78,18.00,18.29,17.78,1539800
07/01/2022,18.29,18.55,17.47,17.57,17.08,982000
10/01/2022,17.49,17.50,16.54,17.24,16.76,929800
11/01/2022,17.35,17.99,17.17,17.68,17.19,1190400
12/01/2022,17.70,17.74,16.36,17.01,16.54,1491000
13/01/2022,17.17,17.23,16.63,16.74,16.27,862600
14/01/2022,16.52,16.85,16.00,16.20,15.75,1143300
18/01/2022,15.95,16.19,15.47,15.64,15.21,1172800
19/01/2022,15.59,15.86,15.22,15.29,14.87,1765000
20/01/2022,15.50,15.75,14.25,14.29,13.89,1529400
21/01/2022,14.09,14.96,14.00,14.37,13.97,1700700
24/01/2022,14.10,15.00,13.90,14.82,14.41,1377100
25/01/2022,14.47,14.66,14.04,14.23,13.87,822800
26/01/2022,14.55,14.90,14.00,14.18,13.82,1163100
27/01/2022,14.25,14.52,14.00,14.09,13.73,891500
28/01/2022,14.17,14.53,13.81,14.53,14.16,766500
31/01/2022,14.30,15.02,14.25,14.99,14.61,1411700
01/02/2022,14.92,15.09,14.24,14.71,14.34,1501800
02/02/2022,14.63,14.67,14.31,14.41,14.04,1063900
03/02/2022,14.21,14.70,14.15,14.24,13.88,1265400
04/02/2022,14.23,14.53,14.04,14.45,14.08,946200
07/02/2022,14.55,14.80,14.47,14.77,14.39,1044100
08/02/2022,14.87,15.18,14.71,15.02,14.64,1295900
09/02/2022,15.16,15.41,15.01,15.32,14.93,951700
10/02/2022,15.31,15.58,15.13,15.19,14.80,1346000
11/02/2022,15.11,15.18,13.93,13.98,13.62,1879400
14/02/2022,13.90,14.44,13.83,13.90,13.55,2055300
15/02/2022,14.25,14.45,14.08,14.26,13.90,1439800
16/02/2022,14.28,14.57,14.07,14.46,14.09,934100
17/02/2022,14.30,14.43,13.83,13.86,13.51,889100
18/02/2022,13.91,14.06,13.26,13.74,13.39,1398700
22/02/2022,13.67,15.29,13.67,14.89,14.51,3359300
23/02/2022,14.99,14.99,14.27,14.29,13.93,1200600
24/02/2022,13.82,14.44,13.25,14.42,14.05,1411500
25/02/2022,14.40,14.98,14.35,14.93,14.55,1566500
28/02/2022,14.75,15.02,14.56,14.91,14.53,1963600
01/03/2022,14.80,14.89,14.28,14.57,14.20,1242500
02/03/2022,14.59,15.50,14.58,15.23,14.84,1299000
03/03/2022,15.26,15.31,14.46,14.54,14.17,835800
04/03/2022,14.42,14.64,14.10,14.58,14.21,947800
07/03/2022,14.62,15.12,13.88,13.94,13.58,1249000
08/03/2022,13.95,14.52,13.76,13.80,13.45,1467300
09/03/2022,14.11,14.50,14.00,14.26,13.90,1109500
10/03/2022,14.00,14.32,13.76,13.99,13.63,1020900
11/03/2022,14.11,14.22,13.54,13.55,13.20,1101000
14/03/2022,13.59,13.81,13.15,13.41,13.07,1218300
15/03/2022,13.66,14.37,13.58,14.18,13.82,1946500
16/03/2022,14.34,14.71,14.11,14.50,14.13,2145400
17/03/2022,14.33,14.78,14.26,14.49,14.12,2155400
18/03/2022,14.48,14.77,14.38,14.39,14.02,9698100
21/03/2022,14.40,14.82,14.32,14.69,14.32,2138300
22/03/2022,14.82,14.82,14.39,14.49,14.12,1682000
23/03/2022,14.39,14.87,14.34,14.74,14.36,1204700
24/03/2022,14.75,15.23,14.70,15.07,14.69,1122600
25/03/2022,15.05,15.12,14.45,14.50,14.13,1872300
28/03/2022,14.50,14.66,14.18,14.35,13.98,727000
29/03/2022,14.45,14.86,14.45,14.82,14.44,1203600
