Date,Open,High,Low,Close,Adj Close,Volume
17/05/2019,25.02,25.96,18.81,20.38,20.38,38937500
20/05/2019,21.02,21.02,18.40,18.61,18.61,8186600
21/05/2019,18.59,18.74,17.33,17.33,17.33,8572300
22/05/2019,17.00,17.33,14.70,14.75,14.75,19697300
23/05/2019,14.47,15.95,13.71,15.79,15.79,9626500
24/05/2019,15.44,15.70,14.77,15.32,15.32,4829800
28/05/2019,15.38,16.32,15.28,16.11,16.11,4576400
29/05/2019,16.00,17.78,15.99,17.25,17.25,7583500
30/05/2019,17.61,18.75,17.44,18.50,18.50,8872800
31/05/2019,18.40,20.39,17.75,20.10,20.10,7524000
03/06/2019,21.50,22.30,20.10,20.63,20.63,10498900
04/06/2019,21.00,21.07,19.06,19.79,19.79,5814000
05/06/2019,19.93,20.16,17.81,18.65,18.65,5083600
06/06/2019,18.02,18.19,17.13,17.68,17.68,3971500
07/06/2019,18.00,19.03,17.81,18.99,18.99,4788700
10/06/2019,19.20,19.29,18.32,18.45,18.45,3572700
11/06/2019,18.75,18.76,17.25,17.60,17.60,4116100
12/06/2019,17.93,18.65,17.60,18.19,18.19,3328500
13/06/2019,18.53,18.84,17.67,17.96,17.96,2320200
14/06/2019,17.96,19.45,17.80,19.23,19.23,3669600
17/06/2019,19.68,21.29,19.64,21.17,21.17,7960700
18/06/2019,21.76,21.80,20.30,20.70,20.70,4553700
19/06/2019,21.08,21.08,19.60,19.94,19.94,3524700
20/06/2019,20.08,20.78,19.73,19.79,19.79,3656500
21/06/2019,19.88,19.88,19.00,19.13,19.13,3261500
24/06/2019,19.16,19.44,18.00,18.19,18.19,4054100
25/06/2019,18.06,18.79,17.91,18.05,18.05,2780500
26/06/2019,18.15,18.39,17.80,18.05,18.05,2117900
27/06/2019,18.07,18.63,18.07,18.40,18.40,2158400
28/06/2019,18.50,19.95,18.45,19.49,19.49,5223500
01/07/2019,20.00,20.14,18.91,19.14,19.14,3546400
02/07/2019,19.09,19.18,18.64,18.78,18.78,1369800
03/07/2019,18.73,19.42,18.73,19.33,19.33,993000
05/07/2019,19.45,19.62,19.04,19.59,19.59,1429500
08/07/2019,19.40,19.59,19.02,19.13,19.13,1430900
09/07/2019,19.37,19.39,18.85,18.93,18.93,1386000
10/07/2019,18.96,19.18,18.85,18.94,18.94,892600
11/07/2019,19.08,19.71,19.00,19.49,19.49,2260800
12/07/2019,19.69,20.20,19.21,19.41,19.41,3041500
