Date,Open,High,Low,Close,Adj Close,Volume
05/07/1966,0.00,0.27,0.27,0.27,0.12,388800
06/07/1966,0.00,0.28,0.27,0.28,0.12,692550
07/07/1966,0.00,0.29,0.27,0.27,0.12,1858950
08/07/1966,0.00,0.28,0.27,0.28,0.12,1239300
11/07/1966,0.00,0.28,0.27,0.28,0.12,656100
12/07/1966,0.00,0.27,0.27,0.27,0.12,303750
13/07/1966,0.00,0.27,0.27,0.27,0.12,291600
14/07/1966,0.00,0.27,0.27,0.27,0.12,328050
15/07/1966,0.00,0.27,0.26,0.26,0.11,376650
18/07/1966,0.00,0.27,0.26,0.26,0.11,607500
19/07/1966,0.00,0.26,0.26,0.26,0.11,413100
20/07/1966,0.00,0.26,0.26,0.26,0.11,230850
21/07/1966,0.00,0.26,0.25,0.25,0.11,230850
22/07/1966,0.00,0.25,0.25,0.25,0.11,303750
25/07/1966,0.00,0.25,0.24,0.24,0.10,510300
26/07/1966,0.00,0.24,0.23,0.23,0.10,328050
27/07/1966,0.00,0.24,0.24,0.24,0.10,157950
28/07/1966,0.00,0.24,0.24,0.24,0.10,97200
29/07/1966,0.00,0.24,0.24,0.24,0.10,157950
01/08/1966,0.00,0.24,0.24,0.24,0.10,182250
02/08/1966,0.00,0.24,0.23,0.24,0.10,85050
03/08/1966,0.00,0.24,0.23,0.23,0.10,267300
04/08/1966,0.00,0.24,0.23,0.24,0.10,60750
05/08/1966,0.00,0.25,0.24,0.24,0.11,157950
08/08/1966,0.00,0.24,0.24,0.24,0.10,48600
09/08/1966,0.00,0.24,0.24,0.24,0.10,133650
10/08/1966,0.00,0.24,0.24,0.24,0.10,170100
11/08/1966,0.00,0.24,0.24,0.24,0.10,133650
12/08/1966,0.00,0.24,0.24,0.24,0.10,206550
15/08/1966,0.00,0.24,0.24,0.24,0.10,741150
16/08/1966,0.00,0.24,0.23,0.23,0.10,668250
17/08/1966,0.00,0.24,0.22,0.22,0.10,473850
18/08/1966,0.00,0.22,0.22,0.22,0.09,109350
19/08/1966,0.00,0.22,0.21,0.21,0.09,315900
22/08/1966,0.00,0.21,0.20,0.20,0.09,680400
23/08/1966,0.00,0.20,0.20,0.20,0.09,291600
24/08/1966,0.00,0.20,0.20,0.20,0.09,243000
25/08/1966,0.00,0.21,0.20,0.20,0.09,279450
26/08/1966,0.00,0.20,0.20,0.20,0.09,413100
29/08/1966,0.00,0.19,0.18,0.18,0.08,400950
30/08/1966,0.00,0.19,0.17,0.18,0.08,789750
31/08/1966,0.00,0.20,0.19,0.19,0.08,595350
01/09/1966,0.00,0.20,0.19,0.20,0.08,303750
02/09/1966,0.00,0.19,0.19,0.19,0.08,133650
06/09/1966,0.00,0.20,0.19,0.19,0.08,157950
07/09/1966,0.00,0.19,0.18,0.19,0.08,243000
08/09/1966,0.00,0.18,0.17,0.17,0.08,376650
09/09/1966,0.00,0.19,0.18,0.18,0.08,206550
12/09/1966,0.00,0.19,0.19,0.19,0.08,413100
13/09/1966,0.00,0.20,0.19,0.20,0.08,267300
14/09/1966,0.00,0.20,0.19,0.20,0.09,243000
15/09/1966,0.00,0.20,0.19,0.19,0.08,145800
16/09/1966,0.00,0.19,0.19,0.19,0.08,145800
19/09/1966,0.00,0.20,0.19,0.19,0.08,255150
20/09/1966,0.00,0.19,0.19,0.19,0.08,72900
21/09/1966,0.00,0.19,0.17,0.18,0.08,182250
22/09/1966,0.00,0.18,0.17,0.18,0.08,121500
23/09/1966,0.00,0.18,0.18,0.18,0.08,230850
26/09/1966,0.00,0.19,0.18,0.19,0.08,157950
27/09/1966,0.00,0.19,0.17,0.17,0.07,230850
28/09/1966,0.00,0.18,0.17,0.18,0.08,206550
29/09/1966,0.00,0.18,0.17,0.17,0.07,109350
30/09/1966,0.00,0.17,0.17,0.17,0.07,182250
03/10/1966,0.00,0.17,0.17,0.17,0.07,546750
04/10/1966,0.00,0.16,0.16,0.16,0.07,522450
05/10/1966,0.00,0.16,0.16,0.16,0.07,194400
06/10/1966,0.00,0.16,0.15,0.15,0.07,425250
07/10/1966,0.00,0.16,0.16,0.16,0.07,352350
10/10/1966,0.00,0.16,0.16,0.16,0.07,789750
11/10/1966,0.00,0.17,0.16,0.17,0.07,571050
12/10/1966,0.00,0.18,0.17,0.18,0.08,230850
13/10/1966,0.00,0.18,0.17,0.17,0.08,315900
14/10/1966,0.00,0.18,0.17,0.17,0.08,157950
17/10/1966,0.00,0.18,0.17,0.18,0.08,121500
18/10/1966,0.00,0.18,0.18,0.18,0.08,315900
19/10/1966,0.00,0.18,0.18,0.18,0.08,376650
20/10/1966,0.00,0.18,0.17,0.18,0.08,303750
21/10/1966,0.00,0.18,0.18,0.18,0.08,157950
24/10/1966,0.00,0.18,0.18,0.18,0.08,206550
25/10/1966,0.00,0.18,0.17,0.17,0.08,315900
26/10/1966,0.00,0.18,0.17,0.17,0.07,352350
27/10/1966,0.00,0.17,0.17,0.17,0.07,218700
28/10/1966,0.00,0.17,0.16,0.16,0.07,558900
31/10/1966,0.00,0.17,0.16,0.16,0.07,425250
01/11/1966,0.00,0.17,0.16,0.16,0.07,388800
02/11/1966,0.00,0.17,0.16,0.16,0.07,243000
