Date,Open,High,Low,Close,Adj Close,Volume
08/06/1993,2.00,2.06,1.89,1.94,1.64,16986600
09/06/1993,2.00,2.22,1.94,2.19,1.85,2650500
10/06/1993,2.25,2.33,2.06,2.11,1.78,3562200
11/06/1993,2.08,2.28,2.08,2.25,1.89,1931400
14/06/1993,2.31,2.33,2.22,2.33,1.96,730800
15/06/1993,2.33,2.33,2.19,2.21,1.86,1315800
16/06/1993,2.25,2.31,2.19,2.31,1.94,854100
17/06/1993,2.31,2.36,2.25,2.31,1.94,880200
18/06/1993,2.31,2.36,2.22,2.25,1.89,748800
21/06/1993,2.25,2.33,2.19,2.25,1.89,286200
22/06/1993,2.25,2.31,2.19,2.22,1.87,507600
23/06/1993,2.19,2.25,2.17,2.19,1.85,628200
24/06/1993,2.14,2.25,2.14,2.19,1.85,209700
25/06/1993,2.25,2.31,2.17,2.31,1.94,154800
28/06/1993,2.31,2.31,2.22,2.31,1.94,522900
29/06/1993,2.31,2.31,2.22,2.22,1.87,183600
30/06/1993,2.19,2.25,2.19,2.25,1.89,54000
01/07/1993,2.25,2.25,2.17,2.17,1.82,125100
02/07/1993,2.17,2.25,2.14,2.22,1.87,296100
06/07/1993,2.22,2.39,2.22,2.31,1.94,1281600
07/07/1993,2.36,2.36,2.31,2.36,1.99,611100
08/07/1993,2.39,2.39,2.31,2.39,2.01,180900
09/07/1993,2.42,2.44,2.36,2.42,2.03,181800
12/07/1993,2.44,2.44,2.36,2.44,2.06,336600
13/07/1993,2.42,2.47,2.42,2.42,2.03,315900
14/07/1993,2.47,2.53,2.42,2.53,2.13,237600
15/07/1993,2.44,2.53,2.44,2.47,2.08,297900
16/07/1993,2.42,2.47,2.39,2.42,2.03,127800
19/07/1993,2.42,2.44,2.33,2.33,1.96,208800
20/07/1993,2.39,2.44,2.33,2.36,1.99,315900
21/07/1993,2.36,2.44,2.36,2.36,1.99,37800
22/07/1993,2.33,2.39,2.32,2.32,1.95,25200
23/07/1993,2.36,2.36,2.31,2.31,1.94,14400
26/07/1993,2.28,2.31,2.22,2.28,1.92,332100
27/07/1993,2.31,2.31,2.25,2.28,1.92,78300
28/07/1993,2.31,2.31,2.28,2.28,1.92,22500
29/07/1993,2.28,2.31,2.28,2.31,1.94,171000
