Date,Open,High,Low,Close,Adj Close,Volume
06/05/1980,0.00,2.25,2.13,2.13,0.40,300
07/05/1980,0.00,2.38,2.25,2.25,0.43,2000
08/05/1980,0.00,2.38,2.25,2.38,0.45,1700
09/05/1980,0.00,2.38,2.25,2.38,0.45,700
12/05/1980,0.00,2.38,2.25,2.25,0.43,1800
13/05/1980,0.00,2.38,2.25,2.38,0.45,3800
14/05/1980,0.00,2.50,2.38,2.50,0.47,3300
15/05/1980,0.00,2.50,2.38,2.38,0.45,1900
16/05/1980,0.00,2.50,2.50,2.50,0.47,4500
19/05/1980,0.00,2.50,2.38,2.50,0.47,3100
20/05/1980,0.00,2.75,2.50,2.50,0.47,8500
21/05/1980,0.00,2.63,2.50,2.63,0.50,1600
22/05/1980,0.00,2.63,2.63,2.63,0.50,2900
23/05/1980,0.00,2.63,2.63,2.63,0.50,1400
27/05/1980,0.00,2.75,2.63,2.75,0.52,700
28/05/1980,0.00,2.75,2.63,2.63,0.50,3200
29/05/1980,0.00,2.75,2.63,2.63,0.50,2200
30/05/1980,0.00,2.63,2.50,2.63,0.50,4700
02/06/1980,0.00,2.75,2.50,2.75,0.52,7300
03/06/1980,0.00,2.75,2.75,2.75,0.52,400
04/06/1980,0.00,2.88,2.63,2.88,0.54,14100
05/06/1980,0.00,3.00,2.88,2.88,0.54,12500
06/06/1980,0.00,2.88,2.75,2.88,0.54,900
09/06/1980,0.00,2.88,2.75,2.88,0.54,3800
10/06/1980,0.00,2.75,2.63,2.63,0.50,3100
11/06/1980,0.00,2.75,2.63,2.75,0.52,2700
12/06/1980,0.00,2.63,2.63,2.63,0.50,2000
13/06/1980,0.00,2.63,2.63,2.63,0.50,2400
16/06/1980,0.00,2.75,2.63,2.75,0.52,1500
17/06/1980,0.00,2.63,2.50,2.63,0.50,6600
18/06/1980,0.00,2.50,2.38,2.50,0.47,3300
19/06/1980,0.00,2.75,2.50,2.63,0.50,4200
20/06/1980,0.00,2.63,2.63,2.63,0.50,3500
23/06/1980,0.00,2.63,2.50,2.50,0.47,1000
24/06/1980,0.00,2.63,2.50,2.50,0.47,1900
25/06/1980,0.00,2.63,2.50,2.50,0.47,2200
26/06/1980,0.00,2.63,2.50,2.50,0.47,8100
27/06/1980,0.00,2.50,2.38,2.38,0.45,3300
30/06/1980,0.00,2.50,2.38,2.50,0.47,2300
01/07/1980,0.00,2.50,2.38,2.38,0.45,4400
02/07/1980,0.00,2.50,2.38,2.38,0.45,4600
03/07/1980,0.00,2.38,2.38,2.38,0.45,4000
07/07/1980,0.00,2.50,2.38,2.50,0.47,3100
08/07/1980,0.00,2.50,2.38,2.38,0.45,4600
09/07/1980,0.00,2.50,2.38,2.50,0.47,1900
10/07/1980,0.00,2.50,2.38,2.50,0.47,1800
11/07/1980,0.00,2.50,2.38,2.50,0.47,1000
14/07/1980,0.00,2.50,2.50,2.50,0.47,1600
15/07/1980,0.00,2.50,2.38,2.50,0.47,2700
16/07/1980,0.00,2.50,2.38,2.50,0.47,8200
17/07/1980,0.00,2.50,2.38,2.38,0.45,4100
18/07/1980,0.00,2.63,2.50,2.50,0.47,8900
21/07/1980,0.00,2.63,2.50,2.63,0.50,11100
22/07/1980,0.00,2.63,2.50,2.50,0.47,9500
23/07/1980,0.00,2.63,2.38,2.63,0.50,2600
24/07/1980,0.00,2.63,2.50,2.50,0.47,4900
25/07/1980,0.00,2.63,2.50,2.50,0.47,3200
28/07/1980,0.00,2.50,2.38,2.50,0.47,1500
29/07/1980,0.00,2.63,2.50,2.63,0.50,7500
30/07/1980,0.00,2.75,2.50,2.75,0.52,18300
31/07/1980,0.00,2.75,2.63,2.75,0.52,9600
01/08/1980,0.00,2.75,2.63,2.63,0.50,6900
04/08/1980,0.00,2.75,2.63,2.75,0.52,13000
05/08/1980,0.00,2.75,2.75,2.75,0.52,7700
06/08/1980,0.00,2.75,2.63,2.63,0.50,6100
07/08/1980,0.00,2.88,2.63,2.88,0.54,10900
08/08/1980,0.00,2.88,2.75,2.75,0.52,5100
11/08/1980,0.00,3.00,2.75,3.00,0.57,38900
12/08/1980,0.00,3.25,2.88,3.00,0.57,26900
13/08/1980,0.00,3.00,2.75,2.75,0.52,10500
14/08/1980,0.00,3.00,2.88,3.00,0.57,8200
15/08/1980,0.00,3.00,2.88,3.00,0.57,3400
18/08/1980,0.00,3.00,2.88,2.88,0.54,2700
19/08/1980,0.00,2.88,2.75,2.88,0.54,9900
20/08/1980,0.00,2.88,2.75,2.88,0.54,3000
21/08/1980,0.00,3.00,2.88,3.00,0.57,3000
22/08/1980,0.00,2.88,2.88,2.88,0.54,7300
25/08/1980,0.00,2.88,2.75,2.88,0.54,2400
26/08/1980,0.00,3.00,2.88,2.88,0.54,9800
27/08/1980,0.00,3.00,2.88,3.00,0.57,4000
28/08/1980,0.00,3.00,2.88,3.00,0.57,4600
29/08/1980,0.00,2.75,2.63,2.63,0.50,9200
02/09/1980,0.00,3.00,2.88,3.00,0.57,16300
03/09/1980,0.00,3.00,2.88,3.00,0.57,7100
04/09/1980,0.00,3.00,2.88,2.88,0.54,6100
05/09/1980,0.00,2.88,2.75,2.75,0.52,4100
08/09/1980,0.00,2.88,2.75,2.88,0.54,6100
09/09/1980,0.00,2.88,2.75,2.88,0.54,2300
10/09/1980,0.00,3.25,2.88,3.13,0.59,78100
11/09/1980,0.00,3.13,3.00,3.13,0.59,14300
12/09/1980,0.00,3.13,2.88,2.88,0.54,5800
15/09/1980,0.00,3.00,2.88,3.00,0.57,4000
16/09/1980,0.00,3.00,2.88,3.00,0.57,12100
17/09/1980,0.00,3.00,3.00,3.00,0.57,11900
18/09/1980,0.00,3.00,2.88,2.88,0.54,6600
19/09/1980,0.00,2.88,2.75,2.75,0.52,4200
22/09/1980,0.00,2.88,2.75,2.88,0.54,5800
23/09/1980,0.00,2.88,2.63,2.75,0.52,6400
24/09/1980,0.00,2.88,2.63,2.75,0.52,4500
25/09/1980,0.00,2.88,2.75,2.75,0.52,12300
26/09/1980,0.00,2.75,2.63,2.63,0.50,15200
29/09/1980,0.00,2.75,2.63,2.75,0.52,2400
30/09/1980,0.00,2.75,2.75,2.75,0.52,2300
01/10/1980,0.00,2.88,2.63,2.75,0.52,11900
02/10/1980,0.00,2.75,2.63,2.75,0.52,5900
03/10/1980,0.00,2.75,2.63,2.75,0.52,3500
06/10/1980,0.00,2.88,2.75,2.75,0.52,3900
07/10/1980,0.00,2.88,2.75,2.75,0.52,2100
08/10/1980,0.00,2.88,2.75,2.75,0.52,3000
09/10/1980,0.00,2.75,2.50,2.50,0.47,14300
10/10/1980,0.00,2.75,2.50,2.63,0.50,10100
13/10/1980,0.00,2.88,2.63,2.75,0.52,18900
14/10/1980,0.00,2.88,2.75,2.88,0.54,15200
15/10/1980,0.00,3.00,2.75,3.00,0.57,28400
16/10/1980,0.00,3.13,2.88,2.88,0.54,35200
17/10/1980,0.00,3.38,2.88,3.38,0.64,140700
20/10/1980,0.00,3.63,3.25,3.63,0.69,134700
21/10/1980,0.00,4.13,3.63,4.00,0.76,417500
22/10/1980,0.00,4.00,3.63,3.75,0.71,132100
23/10/1980,0.00,3.75,3.38,3.63,0.69,44000
24/10/1980,0.00,3.75,3.50,3.75,0.71,39100
27/10/1980,0.00,3.75,3.63,3.75,0.71,31600
28/10/1980,0.00,3.75,3.63,3.75,0.71,17200
29/10/1980,0.00,3.88,3.63,3.88,0.73,49000
30/10/1980,0.00,3.88,3.63,3.63,0.69,12600
31/10/1980,0.00,3.75,3.63,3.63,0.69,12900
03/11/1980,0.00,3.63,3.50,3.63,0.69,6700
05/11/1980,0.00,3.75,3.50,3.63,0.69,16000
06/11/1980,0.00,3.75,3.50,3.50,0.66,22900
07/11/1980,0.00,3.63,3.50,3.63,0.69,12000
10/11/1980,0.00,3.63,3.50,3.63,0.69,16500
11/11/1980,0.00,3.88,3.50,3.75,0.71,44600
12/11/1980,0.00,3.88,3.75,3.88,0.73,25200
13/11/1980,0.00,4.00,3.75,4.00,0.76,20200
